Category ,Product ID,Products,Sub-Category
Office Supplies,OFF-BI-10000848,Angle-D Ring Binders,Binders
Office Supplies,OFF-PA-10004156,Xerox 188,Paper
Furniture,FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Chairs
Office Supplies,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Art
Technology,TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Phones
Furniture,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Chairs
Office Supplies,OFF-LA-10001569,Avery 499,Labels
Office Supplies,OFF-EN-10000461,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes
Technology,TEC-MA-10003066,Wasp CCD Handheld Bar Code Reader,Machines
Office Supplies,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Binders
Furniture,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Furnishings
Office Supplies,OFF-AR-10001988,Bulldog Table or Wall-Mount Pencil Sharpener,Art
Furniture,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Chairs
Office Supplies,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Binders
Office Supplies,OFF-FA-10002983,Advantus SlideClip Paper Clips,Fasteners
Office Supplies,OFF-PA-10003625,Xerox 1979,Paper
Office Supplies,OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Binders
Technology,TEC-PH-10001530,Plantronics Voyager Pro Legend,Phones
Office Supplies,OFF-EN-10003862,Laser & Ink Jet Business Envelopes,Envelopes
Office Supplies,OFF-ST-10004258,Portable Personal File Box,Storage
Furniture,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,Furnishings
Furniture,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furnishings
Office Supplies,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,Art
Technology,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories
Furniture,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Tables
Office Supplies,OFF-PA-10004621,Xerox 212,Paper
Office Supplies,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,Storage
Office Supplies,OFF-PA-10001790,Xerox 1910,Paper
Office Supplies,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes
Office Supplies,OFF-BI-10002049,UniKeep View Case Binders,Binders
Office Supplies,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper
Technology,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Phones
Furniture,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furnishings
Furniture,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings
Office Supplies,OFF-ST-10003722,Project Tote Personal File,Storage
Furniture,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Tables
Technology,TEC-AC-10003198,Enermax Acrylux Wireless Keyboard,Accessories
Office Supplies,OFF-PA-10004100,Xerox 216,Paper
Furniture,FUR-FU-10002191,G.E. Halogen Desk Lamp Bulbs,Furnishings
Furniture,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furnishings
Technology,TEC-PH-10004188,OtterBox Commuter Series Case - Samsung Galaxy S4,Phones
Office Supplies,OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart ,Storage
Office Supplies,OFF-AR-10001166,Staples in misc. colors,Art
Furniture,FUR-CH-10000309,Global Comet Stacking Arm Chair,Chairs
Technology,TEC-MA-10004212,Cisco SPA525G2 5-Line IP Phone,Machines
Office Supplies,OFF-EN-10003072,Peel & Seel Envelopes,Envelopes
Office Supplies,OFF-BI-10000320,GBC Plastic Binding Combs,Binders
Office Supplies,OFF-PA-10001166,Xerox 2,Paper
Office Supplies,OFF-PA-10003656,Xerox 1935,Paper
Technology,TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,Phones
Office Supplies,OFF-PA-10000474,Easy-staple paper,Paper
Technology,TEC-PH-10003885,Cisco SPA508G,Phones
Furniture,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Chairs
Furniture,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furnishings
Office Supplies,OFF-LA-10001175,Avery 514,Labels
Office Supplies,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Paper
Office Supplies,OFF-BI-10003460,Acco 3-Hole Punch,Binders
Office Supplies,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Binders
Furniture,FUR-FU-10003975,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furnishings
Office Supplies,OFF-BI-10003707,Aluminum Screw Posts,Binders
